module_order,module_title,lesson_order,lesson_title,step_order,step_title,step_type,checker_type,xp,difficulty,estimated_minutes
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,1,Смысл,theory,,20,1,18
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,2,print,theory,,20,1,18
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,3,print и вывод,test,quiz_single,25,1,10
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,4,Первый вывод,practice,python_stdout,50,1,10
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,5,Две строки,practice,python_stdout,50,1,10
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,6,Порядок,practice,python_stdout,50,1,10
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,7,Точный текст,practice,python_stdout,50,1,10
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,8,Кавычка,practice,python_stdout,50,1,12
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,9,Лишняя строка,practice,python_stdout,50,1,12
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,10,Три строки,project,ide_plugin,125,1,24
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,11,Короткая проверка,summary,,10,1,6
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,1,Что это,theory,,20,1,16
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,2,Минимальный пример,theory,,20,1,16
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,3,Ввод и числа,test,quiz_single,25,1,10
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,4,Имя,practice,python_stdout,50,1,12
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,5,Возраст,practice,python_stdout,50,1,12
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,6,Сумма,practice,python_stdout,55,2,14
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,7,Площадь,practice,python_stdout,55,2,14
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,8,Скидка,practice,python_stdout,55,2,14
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,9,Забытый int,practice,python_stdout,55,2,12
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,10,Следующий год,project,ide_plugin,140,2,25
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,11,Короткая проверка,summary,,10,1,6
1,"Модуль 1. Python Core, терминал, Git",3,Строки,1,Что это,theory,,20,1,16
1,"Модуль 1. Python Core, терминал, Git",3,Строки,2,Минимальный пример,theory,,20,1,16
1,"Модуль 1. Python Core, терминал, Git",3,Строки,3,Строки,test,quiz_single,25,1,10
1,"Модуль 1. Python Core, терминал, Git",3,Строки,4,Без краёв,practice,python_stdout,50,1,12
1,"Модуль 1. Python Core, терминал, Git",3,Строки,5,Нижний регистр,practice,python_stdout,50,1,12
1,"Модуль 1. Python Core, терминал, Git",3,Строки,6,Первые символы,practice,python_stdout,55,2,12
1,"Модуль 1. Python Core, терминал, Git",3,Строки,7,Замена,practice,python_stdout,55,2,12
1,"Модуль 1. Python Core, терминал, Git",3,Строки,8,Slug,practice,python_stdout,55,2,16
1,"Модуль 1. Python Core, терминал, Git",3,Строки,9,Забыто присваивание,practice,python_stdout,55,2,12
1,"Модуль 1. Python Core, терминал, Git",3,Строки,10,Чистое имя,project,ide_plugin,140,2,25
1,"Модуль 1. Python Core, терминал, Git",3,Строки,11,Короткая проверка,summary,,10,1,6
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,1,Что это,theory,,20,1,16
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,2,Минимальный пример,theory,,20,1,16
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,3,bool и None,test,quiz_single,25,1,10
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,4,Равно,practice,python_stdout,50,1,12
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,5,Положительное,practice,python_stdout,50,1,12
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,6,Пустая строка,practice,python_stdout,55,2,12
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,7,None,practice,python_stdout,50,1,12
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,8,Не строка None,practice,python_stdout,55,2,12
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,9,Заполнено,project,ide_plugin,140,2,25
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,10,Короткая проверка,summary,,10,1,6
1,"Модуль 1. Python Core, терминал, Git",5,Условия,1,Что это,theory,,20,1,16
1,"Модуль 1. Python Core, терминал, Git",5,Условия,2,Минимальный пример,theory,,20,1,16
1,"Модуль 1. Python Core, терминал, Git",5,Условия,3,Условия,test,quiz_single,25,1,10
1,"Модуль 1. Python Core, терминал, Git",5,Условия,4,Возраст,practice,python_stdout,55,2,14
1,"Модуль 1. Python Core, терминал, Git",5,Условия,5,Знак числа,practice,python_stdout,55,2,15
1,"Модуль 1. Python Core, терминал, Git",5,Условия,6,Граница,practice,python_stdout,55,2,12
1,"Модуль 1. Python Core, терминал, Git",5,Условия,7,Код доступа,practice,python_stdout,55,2,14
1,"Модуль 1. Python Core, терминал, Git",5,Условия,8,Один знак,practice,python_stdout,55,2,14
1,"Модуль 1. Python Core, терминал, Git",5,Условия,9,Можно войти,project,ide_plugin,140,2,25
1,"Модуль 1. Python Core, терминал, Git",5,Условия,10,Короткая проверка,summary,,10,1,6
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,1,Что это,theory,,20,1,16
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,2,Минимальный пример,theory,,20,1,16
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,3,Типы,test,quiz_single,25,1,10
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,4,Имя типа,practice,python_stdout,55,2,12
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,5,После int,practice,python_stdout,55,2,12
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,6,После float,practice,python_stdout,55,2,12
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,7,Переприсваивание,practice,python_stdout,55,2,12
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,8,Два имени,practice,python_stdout,55,2,12
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,9,Паспорт значения,project,ide_plugin,140,2,25
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,10,Короткая проверка,summary,,10,1,6
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,1,Что это,theory,,20,1,16
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,2,Минимальный пример,theory,,20,1,16
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,3,Циклы,test,quiz_single,25,1,10
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,4,Range,practice,python_stdout,55,2,12
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,5,Сумма,practice,python_stdout,55,2,15
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,6,Повтор слова,practice,python_stdout,55,2,14
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,7,Обратный отсчёт,practice,python_stdout,55,2,15
